"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","0.1","0","0.1","0.1","0"
"2010","60","0.1","0","0.1","0.1","0"
"2011","30","0.1","0","0.1","0.1","0"
"2012","30","0.1","0","0.1","0.1","0"
"2013","38","0.1","0","0.1","0.1","0"
"2014","50","0.1","0","0.1","0.1","0"
"2015","55","0.1","0","0.1","0.1","0"
"2016","55","0.098","0.013","0","0.1","13.664"
"2017","55","0.1","0","0.1","0.1","0"
"2018","55","0.1","0","0.1","0.1","0"
"2019","55","0.1","0","0.1","0.1","0"
"2020","5","0.1","0","0.1","0.1","0"
"2021","55","0.1","0","0.1","0.1","0"
"2022","50","0.1","0","0.1","0.1","0"
