"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","0.05","0","0.05","0.05","0"
"2010","60","0.05","0","0.05","0.05","0"
"2011","30","0.05","0","0.05","0.05","0"
"2012","30","0.05","0","0.05","0.05","0"
"2013","38","0.05","0","0.05","0.05","0"
"2014","50","0.05","0","0.05","0.05","0"
"2015","55","0.05","0","0.05","0.05","0"
"2016","55","0.05","0","0.05","0.05","0"
"2017","55","0.054","0.031","0.05","0.28","57"
"2018","55","14","100","0.05","740","739"
"2019","55","0.05","0","0.05","0.05","0"
"2020","5","0.05","0","0.05","0.05","0"
"2021","55","0.05","0","0.05","0.05","0"
"2022","60","0.05","0","0.05","0.05","0"
